Station ID	Station Code	Station name	Region	Date	Month	Depth1	Depth2	E4/E6	HI	SR	SAR(UV)	UVABS254(filtrert+ufiltrert)	E2/E3	SAR(VIS)	Total CDOM absorbtion	UVABS410(filtrert+ufiltrert)	sUVa 254	UVABS360(filtrert)	UVABS365(filtrert+ufiltrert)	sVISa 410	Farge	S275-295
29617	?STEGLO	Glomma ved Sarpsfoss	Skagerrak	04.08.2020 10:20	8	0	0	6.51	0.703	0.851	8.886	0.135	4.869	10.14	2283.532	0.013	3.759	0.03	0.028	0.358	24.923	-0.015
29617	?STEGLO	Glomma ved Sarpsfoss	Skagerrak	07.09.2020 06:50	9	0	0	5.407	0.682	0.91	10.556	0.087	5.605	12.323	1382.121	0.007	3.104	0.017	0.016	0.247	13.39	-0.016
29617	?STEGLO	Glomma ved Sarpsfoss	Skagerrak	05.10.2020 04:45	10	0	0	6.675	0.689	0.883	9.975	0.095	5.333	11.611	1537.383	0.008	3.267	0.019	0.018	0.276	15.507	-0.016
29617	?STEGLO	Glomma ved Sarpsfoss	Skagerrak	02.11.2020 06:00	11	0	0	5.588	0.726	0.797	7.505	0.275	4.278	8.388	4926.322	0.032	4.658	0.069	0.064	0.534	60.964	-0.013
29617	?STEGLO	Glomma ved Sarpsfoss	Skagerrak	07.12.2020 05:55	12	0	0	6.636	0.721	0.783	7.844	0.225	4.407	9.585	3986.544	0.024	4.793	0.055	0.051	0.521	47.342	-0.013
29778	STREORK	Orkla	Norwegian sea	06.01.2020 12:10	1	0	0	6.358	0.736	0.764	7.419	0.171	4.222	9.32	3105.745	0.02	4.079	0.044	0.041	0.468	38.046	-0.012
29778	STREORK	Orkla	Norwegian sea	03.02.2020 09:30	2	0	0	25.974	0.711	0.767	8.84	0.1	4.769	19.054	1704.11	0.009	3.693	0.023	0.021	0.351	18.359	-0.013
29778	STREORK	Orkla	Norwegian sea	02.03.2020 09:30	3	0	0	8.702	0.702	0.81	9.416	0.078	5.017	13.388	1300.329	0.007	3.541	0.017	0.016	0.316	13.471	-0.014
29778	STREORK	Orkla	Norwegian sea	14.04.2020 07:50	4	0	0	9.041	0.724	0.76	8.217	0.149	4.525	12.291	2622.704	0.015	3.933	0.036	0.033	0.405	29.756	-0.013
29778	STREORK	Orkla	Norwegian sea	04.05.2020 14:45	5	0	0	6.003	0.725	0.778	7.909	0.156	4.414	9.77	2756.73	0.017	3.994	0.038	0.035	0.43	32.43	-0.013
29778	STREORK	Orkla	Norwegian sea	02.06.2020 13:00	6	0	0	5.904	0.728	0.783	7.603	0.125	4.294	9.627	2241.267	0.014	4.172	0.031	0.029	0.468	27.191	-0.013
29778	STREORK	Orkla	Norwegian sea	06.07.2020 12:00	7	0	0	7.923	0.716	0.824	8.519	0.09	4.682	11.419	1553.877	0.009	1.958	0.021	0.019	0.196	17.419	-0.014
29778	STREORK	Orkla	Norwegian sea	04.08.2020 09:00	8	0	0	7.67	0.738	0.738	7.649	0.287	4.268	11.298	5187.577	0.032	3.118	0.073	0.067	0.346	61.579	-0.012
29778	STREORK	Orkla	Norwegian sea	07.09.2020 11:10	9	0	0	242.333	0.705	0.831	9.353	0.081	5.014	27.377	1359.926	0.007	2.908	0.018	0.016	0.261	14.141	-0.015
29778	STREORK	Orkla	Norwegian sea	05.10.2020 10:30	10	0	0	8.151	0.705	0.842	9.18	0.09	5	12.796	1504.067	0.008	3.205	0.02	0.018	0.295	15.991	-0.015
